,index,ch1mean,ch1std,ch1median,ch1rme,ch2mean,ch2std,ch2median,ch2rme,ch3mean,ch3std,ch3median,ch3rme,ch4mean,ch4std,ch4median,ch4rme,ch5mean,ch5std,ch5median,ch5rme,ch6mean,ch6std,ch6median,ch6rme,ch7mean,ch7std,ch7median,ch7rme,ch8mean,ch8std,ch8median,ch8rme,ch9mean,ch9std,ch9median,ch9rme,ch10mean,ch10std,ch10median,ch10rme,label
29,29,3.146,0.19282116066448718,3.12,3.1507237263841463,0.858,0.07120393247567162,0.91,0.8603603896042635,0.20800000000000002,0.0712039324756716,0.26,0.21753160689885967,2.678,0.07120393247567154,2.73,2.6787571745120906,2.86,0.0,2.86,2.86,3.9,1.8176770890342433,3.12,4.225299989349869,3.6399999999999997,0.0,3.64,3.64,3.276,0.058137767414994566,3.25,3.27641267242086,2.21,0.09192388155425117,2.21,2.2115288829224005,1.95,0.0919238815542512,1.95,1.951732563646977,0
30,30,3.1719999999999997,0.1971547615453403,3.25,3.176897857974033,0.9100000000000001,0.09192388155425117,0.91,0.9137067363218901,0.156,0.10876580344942982,0.13,0.1838477631085024,2.7039999999999997,0.10876580344942967,2.73,2.705749434075521,2.86,0.0,2.86,2.86,3.874000000000001,1.8324928376394818,3.12,4.206459318714494,3.588,0.11627553482998916,3.64,3.5895069299278415,3.25,0.0,3.25,3.25,2.184,0.05813776741499452,2.21,2.1846189599104004,1.9759999999999998,0.10876580344942974,1.95,1.9783932874936672,0
31,31,3.12,0.1592168332809066,3.12,3.123248309052612,0.9359999999999999,0.10876580344942983,0.91,0.9410419756844006,0.182,0.11627553482998906,0.26,0.20961870145576228,2.73,0.09192388155425113,2.73,2.7312378146181264,2.86,0.0,2.86,2.86,3.8480000000000003,1.8467322491362954,2.99,4.187533880459954,3.588,0.11627553482998919,3.64,3.5895069299278415,3.276,0.05813776741499453,3.25,3.27641267242086,2.184,0.058137767414994504,2.21,2.1846189599104004,2.002,0.11627553482998916,2.08,2.0046994787249286,0
32,32,3.146,0.16949926253526895,3.25,3.1496507742922866,0.9620000000000001,0.0712039324756716,0.91,0.9641058033224362,0.156,0.1424078649513432,0.26,0.2013951340027857,2.782,0.07120393247567149,2.73,2.7827288764807827,2.86,0.0,2.86,2.86,3.822,1.8604085572798252,2.99,4.168522520030328,3.614,0.14240786495134317,3.64,3.6162439077031294,3.3019999999999996,0.07120393247567168,3.25,3.3026141161207434,2.184,0.058137767414994566,2.21,2.1846189599104004,2.028,0.07120393247567162,2.08,2.028999753573174,0
33,33,3.146,0.16949926253526895,3.25,3.1496507742922866,0.9620000000000001,0.0712039324756716,0.91,0.9641058033224363,0.156,0.1424078649513432,0.26,0.2013951340027857,2.782,0.07120393247567154,2.73,2.7827288764807827,2.86,0.0,2.86,2.86,2.99,0.0,2.99,2.99,3.614,0.14240786495134328,3.64,3.6162439077031294,3.3019999999999996,0.0712039324756715,3.25,3.3026141161207434,2.184,0.058137767414994566,2.21,2.1846189599104004,2.0279999999999996,0.0712039324756716,2.08,2.028999753573174,0
34,34,3.1980000000000004,0.07120393247567153,3.25,3.1986340834800093,0.9880000000000001,0.0712039324756716,1.04,0.9900505037623082,0.10400000000000001,0.1424078649513432,0.0,0.16443843832875574,2.808,0.07120393247567154,2.86,2.8087221293677307,2.834,0.05813776741499453,2.86,2.8344770240734003,2.99,0.0,2.99,2.99,3.614,0.14240786495134333,3.64,3.6162439077031294,3.3280000000000003,0.07120393247567154,3.38,3.3286093192202655,2.184,0.05813776741499453,2.21,2.1846189599104004,2.028,0.07120393247567164,2.08,2.028999753573174,0
35,35,3.1720000000000006,0.07120393247567154,3.12,3.172639279842573,0.9620000000000001,0.07120393247567161,0.91,0.9641058033224362,0.10400000000000001,0.1424078649513432,0.0,0.16443843832875574,2.782,0.07120393247567154,2.73,2.7827288764807827,2.8080000000000003,0.07120393247567144,2.86,2.8087221293677307,2.964,0.058137767414994636,2.99,2.9644561052577587,3.6400000000000006,0.09192388155425134,3.64,3.640928453018543,3.3280000000000003,0.07120393247567149,3.38,3.3286093192202655,2.1580000000000004,0.07120393247567168,2.21,2.158939554503553,2.054,0.10876580344942978,2.08,2.0563025069283944,0
36,36,3.4840000000000004,0.6717365555037181,3.25,3.5354264240682483,1.1440000000000001,0.4540704791108975,0.91,1.21395222311259,0.23399999999999999,0.3943095230906806,0.0,0.4232493354985924,2.808,0.07120393247567154,2.86,2.8087221293677307,2.782,0.0712039324756715,2.73,2.7827288764807827,2.9379999999999997,0.07120393247567175,2.99,2.938690184418902,3.6399999999999997,0.09192388155425132,3.64,3.640928453018543,3.3280000000000003,0.07120393247567154,3.38,3.3286093192202655,2.184,0.10876580344942967,2.21,2.1861655929961024,2.0800000000000005,0.13,2.08,2.0832474648970534,0
37,37,3.7960000000000003,0.8691547618232323,3.25,3.874785155334422,1.326,0.5151019316601326,1.04,1.4037592386160813,0.41600000000000004,0.46328177171134205,0.26,0.5871626691130832,2.834,0.10876580344942988,2.86,2.8356692331793565,2.8340000000000005,0.16949926253526887,2.73,2.838052148921862,3.0159999999999996,0.2136117974270148,2.99,3.0220456647774205,3.6659999999999995,0.14240786495134325,3.64,3.6682120985570066,3.353999999999999,0.1087658034494297,3.38,3.3554105561018903,2.1580000000000004,0.11627553482998897,2.08,2.1605045706963915,2.0799999999999996,0.12999999999999998,2.08,2.0832474648970534,0
38,38,4.004,0.829355171202302,4.29,4.072134575379355,1.5080000000000002,0.49159943043091486,1.82,1.5707959765672943,0.46799999999999997,0.4559276258355048,0.52,0.6207414920882928,2.86,0.09192388155425132,2.86,2.8611815741053555,2.8339999999999996,0.16949926253526887,2.73,2.838052148921862,3.016,0.21361179742701475,2.99,3.0220456647774205,3.6660000000000004,0.14240786495134325,3.64,3.6682120985570066,3.354,0.1087658034494298,3.38,3.3554105561018903,2.158,0.11627553482998901,2.08,2.1605045706963915,2.106,0.10876580344942974,2.08,2.108245716229491,0
